Customer_ID,Recency,Frequency,Monetary,Cluster
C0001,56,4,17963.9,0
C0002,122,3,6624.05,2
C0003,116,4,15106.3,2
C0004,24,8,49408.3,3
C0006,149,3,3844.0,2
C0007,144,3,8262.5,2
C0008,11,3,19041.9,0
C0009,23,5,16326.5,0
C0010,16,5,20567.4,0
C0011,75,6,13715.45,0
C0012,61,5,20500.600000000002,0
C0013,4,10,35931.75,3
C0014,74,4,14416.45,0
C0015,29,8,30247.75,1
C0016,88,4,29201.65,0
C0017,32,3,4266.349999999999,0
C0018,13,5,60261.200000000004,3
C0019,41,5,25750.350000000002,1
C0020,7,7,30412.1,1
C0021,97,7,36259.25,1
C0022,174,3,6723.45,2
C0023,16,5,50138.600000000006,1
C0024,7,7,33523.3,1
C0025,18,8,37463.85,1
C0026,118,2,4673.15,2
C0027,8,9,38113.75,3
C0028,29,7,17050.5,1
C0029,74,4,12018.7,0
C0030,25,4,13436.6,0
C0031,142,2,2949.6000000000004,2
C0032,69,7,31144.05,1
C0033,57,3,24090.2,0
C0034,3,5,19897.9,0
C0035,131,2,7370.45,2
C0036,16,6,24084.9,1
C0037,21,10,22611.15,1
C0038,6,4,28589.6,0
C0039,241,1,8097.3,2
C0040,51,5,29794.550000000003,1
C0041,12,4,48886.899999999994,1
C0042,57,6,21522.95,1
C0043,21,10,42144.55,3
C0044,54,7,34623.55,1
C0045,2,3,9670.35,0
C0046,32,8,52937.950000000004,3
C0047,30,8,41243.049999999996,3
C0048,23,3,28634.75,0
C0049,101,5,17583.9,0
C0050,7,4,27019.949999999997,0
C0051,1,5,18530.4,0
C0052,10,5,30847.75,1
C0054,45,6,43983.2,1
C0055,51,6,19979.9,1
C0056,33,7,59016.4,3
C0057,4,3,6929.25,0
C0058,31,7,16834.0,1
C0059,1,6,13459.6,0
C0060,11,7,25877.75,1
C0061,13,7,51082.4,3
C0062,23,8,55902.6,3
C0063,61,5,25576.1,1
C0064,35,5,31042.9,1
C0065,8,3,11262.8,0
C0066,2,5,31193.65,1
C0067,42,5,28495.6,1
C0068,20,4,17725.2,0
C0069,13,8,40592.549999999996,3
C0070,36,7,33226.65,1
C0071,9,5,40793.45,1
C0072,72,6,47177.299999999996,1
C0073,61,2,27192.2,0
C0074,7,4,9521.25,0
C0075,8,5,18277.35,0
C0076,8,5,21151.8,0
C0077,74,4,7913.4,0
C0078,47,5,35899.35,1
C0079,28,11,76395.85,3
C0080,35,3,15922.8,0
C0081,144,1,3196.0,2
C0082,13,9,67785.7,3
C0083,4,4,32896.5,0
C0084,28,5,29008.949999999997,1
C0085,69,5,16792.75,0
C0086,93,6,27620.15,1
C0087,24,7,20944.0,1
C0088,61,3,29989.8,0
C0089,126,5,65421.8,3
C0090,9,6,19806.25,1
C0091,13,9,31007.95,1
C0092,74,4,28489.45,0
C0093,55,6,39334.6,1
C0094,5,8,23514.2,1
C0095,111,9,65986.0,3
C0096,62,11,62260.75,3
C0097,153,2,12924.5,2
C0098,9,9,25895.05,1
C0099,121,3,19942.5,2
C0100,39,7,35333.450000000004,1
C0101,25,2,3510.25,0
C0102,119,9,17825.1,1
C0103,9,6,32509.300000000003,1
C0104,43,4,25913.800000000003,0
C0105,108,3,4213.1,2
C0106,9,7,40767.1,1
C0107,18,9,49194.65,3
C0108,48,5,36418.5,1
C0109,66,4,25240.899999999998,0
C0110,54,3,13823.5,0
C0111,8,5,17751.15,0
C0112,22,7,36979.85,1
C0113,4,5,30775.5,1
C0114,3,5,52575.0,3
C0115,82,5,61387.5,3
C0116,32,3,16678.45,0
C0117,60,6,50187.7,3
C0118,118,1,854.05,2
C0119,11,4,23150.65,0
C0120,89,10,63383.65,3
C0121,2,5,17187.45,0
C0122,45,4,10012.3,0
C0123,108,4,18323.75,2
C0124,48,7,26593.25,1
C0126,28,5,15283.449999999999,0
C0127,8,8,33901.25,1
C0128,70,4,24599.9,0
C0129,142,3,16690.550000000003,2
C0130,9,6,16283.5,1
C0131,19,4,12470.95,0
C0132,30,5,9987.15,0
C0133,97,5,26797.7,1
C0134,244,1,539.1,2
C0135,21,5,14346.599999999999,0
C0136,244,1,449.1,2
C0137,54,6,46371.7,1
C0138,23,8,33211.15,1
C0139,49,4,18646.75,0
C0140,108,6,30807.1,1
C0141,125,3,15703.849999999999,2
C0142,89,6,35134.15,1
C0143,127,5,34435.9,1
