Customer_ID,Customer_Name,City,Customer_Segment,Age
C0001,Customer_0001,Bengaluru,Student,35
C0002,Customer_0002,Coimbatore,Student,26
C0003,Customer_0003,Bengaluru,Business,52
C0004,Customer_0004,Bengaluru,Business,45
C0005,Customer_0005,Chennai,Student,23
C0006,Customer_0006,Coimbatore,Student,50
C0007,Customer_0007,Chennai,Business,30
C0008,Customer_0008,Mumbai,Student,46
C0009,Customer_0009,Madurai,Student,28
C0010,Customer_0010,Mumbai,Professional,35
C0011,Customer_0011,Hyderabad,Student,39
C0012,Customer_0012,Bengaluru,Student,42
C0013,Customer_0013,Bengaluru,Professional,40
C0014,Customer_0014,Madurai,Student,47
C0015,Customer_0015,Bengaluru,Professional,23
C0016,Customer_0016,Madurai,Business,41
C0017,Customer_0017,Coimbatore,Business,22
C0018,Customer_0018,Chennai,Business,32
C0019,Customer_0019,Madurai,Student,32
C0020,Customer_0020,Bengaluru,Professional,35
C0021,Customer_0021,Delhi,Business,41
C0022,Customer_0022,Hyderabad,Professional,40
C0023,Customer_0023,Coimbatore,Business,35
C0024,Customer_0024,Bengaluru,Business,28
C0025,Customer_0025,Coimbatore,Student,47
C0026,Customer_0026,Mumbai,Professional,53
C0027,Customer_0027,Coimbatore,Business,38
C0028,Customer_0028,Chennai,Student,20
C0029,Customer_0029,Pune,Professional,35
C0030,Customer_0030,Bengaluru,Student,54
C0031,Customer_0031,Pune,Student,49
C0032,Customer_0032,Mumbai,Business,47
C0033,Customer_0033,Hyderabad,Professional,26
C0034,Customer_0034,Coimbatore,Business,53
C0035,Customer_0035,Madurai,Business,55
C0036,Customer_0036,Mumbai,Business,43
C0037,Customer_0037,Pune,Student,26
C0038,Customer_0038,Delhi,Student,21
C0039,Customer_0039,Bengaluru,Student,28
C0040,Customer_0040,Mumbai,Business,22
C0041,Customer_0041,Mumbai,Professional,47
C0042,Customer_0042,Madurai,Business,18
C0043,Customer_0043,Bengaluru,Business,52
C0044,Customer_0044,Madurai,Business,39
C0045,Customer_0045,Bengaluru,Professional,45
C0046,Customer_0046,Hyderabad,Professional,18
C0047,Customer_0047,Madurai,Business,29
C0048,Customer_0048,Bengaluru,Business,37
C0049,Customer_0049,Coimbatore,Student,41
C0050,Customer_0050,Hyderabad,Business,51
C0051,Customer_0051,Chennai,Business,38
C0052,Customer_0052,Delhi,Student,25
C0053,Customer_0053,Pune,Professional,33
C0054,Customer_0054,Chennai,Student,54
C0055,Customer_0055,Bengaluru,Student,49
C0056,Customer_0056,Bengaluru,Business,26
C0057,Customer_0057,Hyderabad,Business,48
C0058,Customer_0058,Hyderabad,Professional,51
C0059,Customer_0059,Mumbai,Student,52
C0060,Customer_0060,Coimbatore,Business,37
C0061,Customer_0061,Mumbai,Business,41
C0062,Customer_0062,Delhi,Business,46
C0063,Customer_0063,Bengaluru,Student,32
C0064,Customer_0064,Bengaluru,Professional,19
C0065,Customer_0065,Coimbatore,Business,32
C0066,Customer_0066,Chennai,Student,21
C0067,Customer_0067,Coimbatore,Student,20
C0068,Customer_0068,Pune,Student,50
C0069,Customer_0069,Coimbatore,Professional,49
C0070,Customer_0070,Coimbatore,Business,26
C0071,Customer_0071,Delhi,Student,48
C0072,Customer_0072,Mumbai,Student,24
C0073,Customer_0073,Bengaluru,Business,45
C0074,Customer_0074,Pune,Professional,44
C0075,Customer_0075,Delhi,Business,21
C0076,Customer_0076,Bengaluru,Student,43
C0077,Customer_0077,Pune,Student,33
C0078,Customer_0078,Coimbatore,Student,52
C0079,Customer_0079,Delhi,Student,45
C0080,Customer_0080,Hyderabad,Professional,47
C0081,Customer_0081,Coimbatore,Student,46
C0082,Customer_0082,Bengaluru,Student,52
C0083,Customer_0083,Chennai,Student,33
C0084,Customer_0084,Hyderabad,Professional,49
C0085,Customer_0085,Delhi,Student,43
C0086,Customer_0086,Chennai,Student,42
C0087,Customer_0087,Chennai,Professional,34
C0088,Customer_0088,Delhi,Professional,45
C0089,Customer_0089,Delhi,Student,30
C0090,Customer_0090,Madurai,Student,21
C0091,Customer_0091,Chennai,Business,38
C0092,Customer_0092,Chennai,Student,55
C0093,Customer_0093,Delhi,Business,51
C0094,Customer_0094,Hyderabad,Student,50
C0095,Customer_0095,Bengaluru,Student,22
C0096,Customer_0096,Bengaluru,Business,33
C0097,Customer_0097,Mumbai,Student,54
C0098,Customer_0098,Coimbatore,Business,20
C0099,Customer_0099,Bengaluru,Professional,55
C0100,Customer_0100,Pune,Professional,31
C0101,Customer_0101,Pune,Student,34
C0102,Customer_0102,Mumbai,Student,37
C0103,Customer_0103,Delhi,Professional,22
C0104,Customer_0104,Chennai,Professional,54
C0105,Customer_0105,Bengaluru,Student,52
C0106,Customer_0106,Coimbatore,Business,34
C0107,Customer_0107,Hyderabad,Professional,22
C0108,Customer_0108,Coimbatore,Professional,36
C0109,Customer_0109,Hyderabad,Professional,52
C0110,Customer_0110,Madurai,Business,51
C0111,Customer_0111,Chennai,Business,53
C0112,Customer_0112,Madurai,Business,24
C0113,Customer_0113,Hyderabad,Professional,25
C0114,Customer_0114,Bengaluru,Business,53
C0115,Customer_0115,Hyderabad,Professional,36
C0116,Customer_0116,Coimbatore,Business,39
C0117,Customer_0117,Coimbatore,Business,34
C0118,Customer_0118,Delhi,Professional,21
C0119,Customer_0119,Bengaluru,Business,45
C0120,Customer_0120,Madurai,Student,18
C0121,Customer_0121,Pune,Student,34
C0122,Customer_0122,Hyderabad,Business,46
C0123,Customer_0123,Mumbai,Business,18
C0124,Customer_0124,Bengaluru,Student,27
C0125,Customer_0125,Chennai,Professional,55
C0126,Customer_0126,Hyderabad,Professional,26
C0127,Customer_0127,Chennai,Professional,41
C0128,Customer_0128,Chennai,Professional,31
C0129,Customer_0129,Coimbatore,Business,24
C0130,Customer_0130,Pune,Business,44
C0131,Customer_0131,Hyderabad,Student,28
