Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount,Amount,Rating,Payment_Method,Customer_Name,City,Customer_Segment,Age,Product,Category,Unit_Price,Profit
O00001,2026-04-16,C0204,P011,4,0.1,10796.4,5,Cash,Customer_0204,Hyderabad,Professional,29,Running Shoes,Fashion,2999,1671.73
O00002,2026-07-28,C0276,P029,1,0.15,764.15,3,Debit Card,Customer_0276,Hyderabad,Student,29,Table Clock,Home,899,201.32
O00003,2026-03-24,C0196,P016,1,0.15,7649.15,5,UPI,Customer_0196,Madurai,Professional,44,Office Chair,Furniture,8999,1219.4
O00004,2026-06-18,C0044,P003,4,0.15,11896.6,2,Net Banking,Customer_0044,Madurai,Business,39,Smart Watch,Electronics,3499,1870.11
O00005,2026-04-03,C0106,P025,4,0.15,5096.6,5,Credit Card,Customer_0106,Coimbatore,Business,34,Perfume,Beauty,1499,1349.85
O00006,2026-03-10,C0185,P016,2,0.1,16198.2,4,Cash,Customer_0185,Bengaluru,Business,36,Office Chair,Furniture,8999,4200.29
O00007,2026-02-01,C0062,P011,1,0.05,2849.05,5,Debit Card,Customer_0062,Delhi,Business,46,Running Shoes,Fashion,2999,825.22
O00008,2026-05-22,C0047,P022,1,0.15,594.15,3,UPI,Customer_0047,Madurai,Business,29,Shampoo,Beauty,699,105.88
O00009,2026-04-29,C0293,P010,1,0.05,664.05,4,Debit Card,Customer_0293,Coimbatore,Business,54,Phone Case,Accessories,699,123.67
O00010,2026-05-11,C0032,P027,3,0.15,634.95,5,Cash,Customer_0032,Mumbai,Business,47,Pen Set,Stationery,249,159.71
O00011,2026-03-04,C0078,P003,4,0.05,13296.2,4,Net Banking,Customer_0078,Coimbatore,Student,52,Smart Watch,Electronics,3499,2258.61
O00012,2026-05-11,C0099,P008,2,0.0,4598.0,4,Cash,Customer_0099,Bengaluru,Professional,55,USB-C Hub,Electronics,2299,1114.47
O00013,2026-03-29,C0163,P017,3,0.0,22497.0,4,Debit Card,Customer_0163,Delhi,Business,31,Study Table,Furniture,7499,4942.64
O00014,2026-08-03,C0167,P024,4,0.05,2276.2,4,Cash,Customer_0167,Madurai,Student,30,Sunscreen,Beauty,599,530.74
O00015,2026-03-30,C0210,P011,3,0.15,7647.45,4,Debit Card,Customer_0210,Chennai,Professional,32,Running Shoes,Fashion,2999,1399.26
O00016,2026-08-11,C0198,P019,2,0.05,1328.1,5,Credit Card,Customer_0198,Madurai,Professional,49,Water Bottle,Home,699,352.79
O00017,2026-08-08,C0061,P006,4,0.0,15996.0,4,Cash,Customer_0061,Mumbai,Business,41,Mechanical Keyboard,Electronics,3999,4299.68
O00018,2026-06-30,C0139,P005,4,0.15,4416.6,5,Credit Card,Customer_0139,Coimbatore,Student,30,Gaming Mouse,Electronics,1299,718.24
O00019,2026-05-07,C0141,P016,1,0.05,8549.05,4,Net Banking,Customer_0141,Bengaluru,Professional,40,Office Chair,Furniture,8999,2180.74
O00020,2026-03-26,C0135,P014,1,0.15,679.15,3,Cash,Customer_0135,Madurai,Student,24,T-Shirt,Fashion,799,180.27
O00021,2026-01-04,C0164,P005,2,0.15,2208.3,5,Credit Card,Customer_0164,Delhi,Business,28,Gaming Mouse,Electronics,1299,276.09
O00022,2026-01-20,C0165,P022,4,0.1,2516.4,4,Cash,Customer_0165,Bengaluru,Professional,50,Shampoo,Beauty,699,486.54
O00023,2026-06-16,C0011,P010,1,0.1,629.1,5,Net Banking,Customer_0011,Hyderabad,Student,39,Phone Case,Accessories,699,169.65
O00024,2026-04-08,C0183,P006,3,0.15,10197.45,5,UPI,Customer_0183,Madurai,Business,49,Mechanical Keyboard,Electronics,3999,2399.98
O00025,2026-06-08,C0108,P008,1,0.05,2184.05,5,Debit Card,Customer_0108,Coimbatore,Professional,36,USB-C Hub,Electronics,2299,632.51
O00026,2026-02-28,C0205,P030,1,0.15,2549.15,5,UPI,Customer_0205,Chennai,Professional,42,Travel Bag,Accessories,2999,393.48
O00027,2026-04-24,C0292,P007,2,0.1,2878.2,5,UPI,Customer_0292,Madurai,Student,23,Laptop Stand,Electronics,1599,448.8
O00028,2026-03-25,C0243,P022,1,0.1,629.1,4,Cash,Customer_0243,Delhi,Professional,19,Shampoo,Beauty,699,171.91
O00029,2026-02-07,C0067,P011,2,0.15,5098.3,5,Credit Card,Customer_0067,Coimbatore,Student,20,Running Shoes,Fashion,2999,919.85
O00030,2026-02-13,C0100,P014,2,0.0,1598.0,5,Cash,Customer_0100,Pune,Professional,31,T-Shirt,Fashion,799,227.22
O00031,2026-06-08,C0167,P008,2,0.15,3908.3,5,Credit Card,Customer_0167,Madurai,Student,30,USB-C Hub,Electronics,2299,1131.85
O00032,2026-03-01,C0244,P030,4,0.1,10796.4,4,UPI,Customer_0244,Bengaluru,Professional,32,Travel Bag,Accessories,2999,2471.43
O00033,2026-08-19,C0249,P006,4,0.1,14396.4,5,Credit Card,Customer_0249,Pune,Professional,47,Mechanical Keyboard,Electronics,3999,2703.44
O00034,2026-01-19,C0072,P020,4,0.1,16196.4,5,Debit Card,Customer_0072,Mumbai,Student,24,Coffee Maker,Home Appliances,4499,4509.59
O00035,2026-06-13,C0284,P003,4,0.1,12596.4,4,Debit Card,Customer_0284,Coimbatore,Business,27,Smart Watch,Electronics,3499,3316.94
O00036,2026-02-20,C0114,P017,4,0.15,25496.6,3,Cash,Customer_0114,Bengaluru,Business,53,Study Table,Furniture,7499,6113.48
O00037,2026-05-27,C0231,P008,3,0.1,6207.3,5,Debit Card,Customer_0231,Delhi,Professional,45,USB-C Hub,Electronics,2299,1086.33
O00038,2026-01-06,C0099,P006,4,0.1,14396.4,1,UPI,Customer_0099,Bengaluru,Professional,55,Mechanical Keyboard,Electronics,3999,1873.71
O00039,2026-08-22,C0025,P024,4,0.1,2156.4,5,Credit Card,Customer_0025,Coimbatore,Student,47,Sunscreen,Beauty,599,372.65
O00040,2026-06-05,C0148,P027,3,0.05,709.65,5,Net Banking,Customer_0148,Bengaluru,Professional,54,Pen Set,Stationery,249,108.08
O00041,2026-03-06,C0095,P006,2,0.0,7998.0,5,UPI,Customer_0095,Bengaluru,Student,22,Mechanical Keyboard,Electronics,3999,1650.76
O00042,2026-03-21,C0146,P006,4,0.0,15996.0,5,Credit Card,Customer_0146,Mumbai,Professional,38,Mechanical Keyboard,Electronics,3999,2816.64
O00043,2026-01-24,C0242,P030,3,0.1,8097.3,5,Credit Card,Customer_0242,Coimbatore,Business,48,Travel Bag,Accessories,2999,2302.39
O00044,2026-02-21,C0141,P026,2,0.1,358.2,5,Debit Card,Customer_0141,Bengaluru,Professional,40,Notebook,Stationery,199,63.64
O00045,2026-08-01,C0256,P019,2,0.1,1258.2,5,Cash,Customer_0256,Madurai,Student,41,Water Bottle,Home,699,238.23
O00046,2026-09-05,C0066,P019,3,0.1,1887.3,5,Cash,Customer_0066,Chennai,Student,21,Water Bottle,Home,699,326.89
O00047,2026-09-04,C0220,P001,1,0.05,1899.05,5,Credit Card,Customer_0220,Mumbai,Professional,30,Wireless Earbuds,Electronics,1999,285.33
O00048,2026-08-09,C0131,P022,4,0.1,2516.4,3,Cash,Customer_0131,Hyderabad,Student,28,Shampoo,Beauty,699,405.27
O00049,2026-01-04,C0166,P030,3,0.0,8997.0,4,Debit Card,Customer_0166,Pune,Student,33,Travel Bag,Accessories,2999,1609.53
O00050,2026-05-30,C0166,P021,4,0.1,1796.4,3,Credit Card,Customer_0166,Pune,Student,33,Face Wash,Beauty,499,505.22
O00051,2026-05-01,C0133,P013,1,0.1,1349.1,5,Credit Card,Customer_0133,Hyderabad,Business,39,Backpack,Accessories,1499,376.45
O00052,2026-06-15,C0226,P023,1,0.15,679.15,5,Debit Card,Customer_0226,Pune,Student,44,Moisturizer,Beauty,799,105.36
O00053,2026-06-16,C0247,P008,4,0.0,9196.0,3,UPI,Customer_0247,Pune,Professional,53,USB-C Hub,Electronics,2299,2528.69
O00054,2026-03-19,C0092,P022,4,0.0,2796.0,3,Net Banking,Customer_0092,Chennai,Student,55,Shampoo,Beauty,699,672.64
O00055,2026-02-04,C0203,P025,4,0.15,5096.6,4,Net Banking,Customer_0203,Chennai,Student,45,Perfume,Beauty,1499,927.6
O00056,2026-04-18,C0016,P005,2,0.15,2208.3,5,Cash,Customer_0016,Madurai,Business,41,Gaming Mouse,Electronics,1299,294.85
O00057,2026-06-07,C0243,P024,4,0.1,2156.4,2,Debit Card,Customer_0243,Delhi,Professional,19,Sunscreen,Beauty,599,494.63
O00058,2026-02-25,C0293,P019,4,0.15,2376.6,5,Debit Card,Customer_0293,Coimbatore,Business,54,Water Bottle,Home,699,443.43
O00059,2026-01-26,C0014,P014,3,0.1,2157.3,3,Debit Card,Customer_0014,Madurai,Student,47,T-Shirt,Fashion,799,527.96
O00060,2026-02-18,C0086,P025,1,0.15,1274.15,3,Credit Card,Customer_0086,Chennai,Student,42,Perfume,Beauty,1499,369.79
O00061,2026-06-14,C0085,P025,1,0.0,1499.0,5,Credit Card,Customer_0085,Delhi,Student,43,Perfume,Beauty,1499,199.48
O00062,2026-02-02,C0127,P005,2,0.0,2598.0,5,Net Banking,Customer_0127,Chennai,Professional,41,Gaming Mouse,Electronics,1299,561.48
O00063,2026-02-23,C0186,P018,2,0.05,2468.1,4,Credit Card,Customer_0186,Coimbatore,Professional,39,Desk Lamp,Home,1299,380.94
O00064,2026-07-21,C0201,P011,1,0.1,2699.1,5,Credit Card,Customer_0201,Delhi,Student,52,Running Shoes,Fashion,2999,692.34
O00065,2026-02-03,C0120,P025,3,0.05,4272.15,3,UPI,Customer_0120,Madurai,Student,18,Perfume,Beauty,1499,1252.62
O00066,2026-02-03,C0122,P015,1,0.1,1619.1,5,Credit Card,Customer_0122,Hyderabad,Business,46,Hoodie,Fashion,1799,233.31
O00067,2026-05-31,C0211,P030,3,0.0,8997.0,4,UPI,Customer_0211,Bengaluru,Business,20,Travel Bag,Accessories,2999,2642.32
O00068,2026-02-02,C0277,P027,4,0.0,996.0,5,Cash,Customer_0277,Bengaluru,Student,18,Pen Set,Stationery,249,298.3
O00069,2026-04-25,C0102,P014,3,0.0,2397.0,4,Credit Card,Customer_0102,Mumbai,Student,37,T-Shirt,Fashion,799,527.65
O00070,2026-08-31,C0074,P003,1,0.1,3149.1,4,UPI,Customer_0074,Pune,Professional,44,Smart Watch,Electronics,3499,864.57
O00071,2026-01-16,C0095,P017,4,0.15,25496.6,4,UPI,Customer_0095,Bengaluru,Student,22,Study Table,Furniture,7499,5338.63
O00072,2026-05-06,C0207,P028,4,0.0,1996.0,5,Debit Card,Customer_0207,Pune,Professional,42,Calculator,Stationery,499,247.54
O00073,2026-06-05,C0227,P009,2,0.0,5998.0,3,Net Banking,Customer_0227,Delhi,Student,45,Webcam,Electronics,2999,1132.92
O00074,2026-06-12,C0025,P021,3,0.15,1272.45,5,Net Banking,Customer_0025,Coimbatore,Student,47,Face Wash,Beauty,499,243.02
O00075,2026-03-17,C0128,P020,4,0.15,15296.6,3,UPI,Customer_0128,Chennai,Professional,31,Coffee Maker,Home Appliances,4499,3534.94
O00076,2026-08-07,C0056,P008,2,0.15,3908.3,4,Credit Card,Customer_0056,Bengaluru,Business,26,USB-C Hub,Electronics,2299,751.19
O00077,2026-04-16,C0037,P021,3,0.15,1272.45,4,UPI,Customer_0037,Pune,Student,26,Face Wash,Beauty,499,215.46
O00078,2026-03-22,C0171,P010,4,0.1,2516.4,5,Debit Card,Customer_0171,Coimbatore,Business,42,Phone Case,Accessories,699,595.67
O00079,2026-09-02,C0203,P028,2,0.15,848.3,3,UPI,Customer_0203,Chennai,Student,45,Calculator,Stationery,499,215.79
O00080,2026-01-24,C0284,P006,4,0.0,15996.0,5,Debit Card,Customer_0284,Coimbatore,Business,27,Mechanical Keyboard,Electronics,3999,3026.44
O00081,2026-07-27,C0094,P008,2,0.0,4598.0,5,Net Banking,Customer_0094,Hyderabad,Student,50,USB-C Hub,Electronics,2299,1229.4
O00082,2026-05-24,C0105,P027,3,0.0,747.0,4,Cash,Customer_0105,Bengaluru,Student,52,Pen Set,Stationery,249,106.28
O00083,2026-08-11,C0230,P001,1,0.1,1799.1,5,Debit Card,Customer_0230,Madurai,Business,52,Wireless Earbuds,Electronics,1999,287.16
O00084,2026-01-27,C0103,P026,2,0.05,378.1,5,Credit Card,Customer_0103,Delhi,Professional,22,Notebook,Stationery,199,80.57
O00085,2026-08-05,C0080,P019,1,0.1,629.1,5,Debit Card,Customer_0080,Hyderabad,Professional,47,Water Bottle,Home,699,143.56
