Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Discount,Amount,Rating,Payment_Method
O00001,2026-04-16,C0204,P011,4,0.1,10796.4,5,Cash
O00002,2026-07-28,C0276,P029,1,0.15,764.15,3,Debit Card
O00003,2026-03-24,C0196,P016,1,0.15,7649.15,5,UPI
O00004,2026-06-18,C0044,P003,4,0.15,11896.6,2,Net Banking
O00005,2026-04-03,C0106,P025,4,0.15,5096.6,5,Credit Card
O00006,2026-03-10,C0185,P016,2,0.1,16198.2,4,Cash
O00007,2026-02-01,C0062,P011,1,0.05,2849.05,5,Debit Card
O00008,2026-05-22,C0047,P022,1,0.15,594.15,3,UPI
O00009,2026-04-29,C0293,P010,1,0.05,664.05,4,Debit Card
O00010,2026-05-11,C0032,P027,3,0.15,634.95,5,Cash
O00011,2026-03-04,C0078,P003,4,0.05,13296.2,4,Net Banking
O00012,2026-05-11,C0099,P008,2,0.0,4598.0,4,Cash
O00013,2026-03-29,C0163,P017,3,0.0,22497.0,4,Debit Card
O00014,2026-08-03,C0167,P024,4,0.05,2276.2,4,Cash
O00015,2026-03-30,C0210,P011,3,0.15,7647.45,4,Debit Card
O00016,2026-08-11,C0198,P019,2,0.05,1328.1,5,Credit Card
O00017,2026-08-08,C0061,P006,4,0.0,15996.0,4,Cash
O00018,2026-06-30,C0139,P005,4,0.15,4416.6,5,Credit Card
O00019,2026-05-07,C0141,P016,1,0.05,8549.05,4,Net Banking
O00020,2026-03-26,C0135,P014,1,0.15,679.15,3,Cash
O00021,2026-01-04,C0164,P005,2,0.15,2208.3,5,Credit Card
O00022,2026-01-20,C0165,P022,4,0.1,2516.4,4,Cash
O00023,2026-06-16,C0011,P010,1,0.1,629.1,5,Net Banking
O00024,2026-04-08,C0183,P006,3,0.15,10197.45,5,UPI
O00025,2026-06-08,C0108,P008,1,0.05,2184.05,5,Debit Card
O00026,2026-02-28,C0205,P030,1,0.15,2549.15,5,UPI
O00027,2026-04-24,C0292,P007,2,0.1,2878.2,5,UPI
O00028,2026-03-25,C0243,P022,1,0.1,629.1,4,Cash
O00029,2026-02-07,C0067,P011,2,0.15,5098.3,5,Credit Card
O00030,2026-02-13,C0100,P014,2,0.0,1598.0,5,Cash
O00031,2026-06-08,C0167,P008,2,0.15,3908.3,5,Credit Card
O00032,2026-03-01,C0244,P030,4,0.1,10796.4,4,UPI
O00033,2026-08-19,C0249,P006,4,0.1,14396.4,5,Credit Card
O00034,2026-01-19,C0072,P020,4,0.1,16196.4,5,Debit Card
O00035,2026-06-13,C0284,P003,4,0.1,12596.4,4,Debit Card
O00036,2026-02-20,C0114,P017,4,0.15,25496.6,3,Cash
O00037,2026-05-27,C0231,P008,3,0.1,6207.3,5,Debit Card
O00038,2026-01-06,C0099,P006,4,0.1,14396.4,1,UPI
O00039,2026-08-22,C0025,P024,4,0.1,2156.4,5,Credit Card
O00040,2026-06-05,C0148,P027,3,0.05,709.65,5,Net Banking
O00041,2026-03-06,C0095,P006,2,0.0,7998.0,5,UPI
O00042,2026-03-21,C0146,P006,4,0.0,15996.0,5,Credit Card
O00043,2026-01-24,C0242,P030,3,0.1,8097.3,5,Credit Card
O00044,2026-02-21,C0141,P026,2,0.1,358.2,5,Debit Card
O00045,2026-08-01,C0256,P019,2,0.1,1258.2,5,Cash
O00046,2026-09-05,C0066,P019,3,0.1,1887.3,5,Cash
O00047,2026-09-04,C0220,P001,1,0.05,1899.05,5,Credit Card
O00048,2026-08-09,C0131,P022,4,0.1,2516.4,3,Cash
O00049,2026-01-04,C0166,P030,3,0.0,8997.0,4,Debit Card
O00050,2026-05-30,C0166,P021,4,0.1,1796.4,3,Credit Card
O00051,2026-05-01,C0133,P013,1,0.1,1349.1,5,Credit Card
O00052,2026-06-15,C0226,P023,1,0.15,679.15,5,Debit Card
O00053,2026-06-16,C0247,P008,4,0.0,9196.0,3,UPI
O00054,2026-03-19,C0092,P022,4,0.0,2796.0,3,Net Banking
O00055,2026-02-04,C0203,P025,4,0.15,5096.6,4,Net Banking
O00056,2026-04-18,C0016,P005,2,0.15,2208.3,5,Cash
O00057,2026-06-07,C0243,P024,4,0.1,2156.4,2,Debit Card
O00058,2026-02-25,C0293,P019,4,0.15,2376.6,5,Debit Card
O00059,2026-01-26,C0014,P014,3,0.1,2157.3,3,Debit Card
O00060,2026-02-18,C0086,P025,1,0.15,1274.15,3,Credit Card
O00061,2026-06-14,C0085,P025,1,0.0,1499.0,5,Credit Card
O00062,2026-02-02,C0127,P005,2,0.0,2598.0,5,Net Banking
O00063,2026-02-23,C0186,P018,2,0.05,2468.1,4,Credit Card
O00064,2026-07-21,C0201,P011,1,0.1,2699.1,5,Credit Card
O00065,2026-02-03,C0120,P025,3,0.05,4272.15,3,UPI
O00066,2026-02-03,C0122,P015,1,0.1,1619.1,5,Credit Card
O00067,2026-05-31,C0211,P030,3,0.0,8997.0,4,UPI
O00068,2026-02-02,C0277,P027,4,0.0,996.0,5,Cash
O00069,2026-04-25,C0102,P014,3,0.0,2397.0,4,Credit Card
O00070,2026-08-31,C0074,P003,1,0.1,3149.1,4,UPI
O00071,2026-01-16,C0095,P017,4,0.15,25496.6,4,UPI
O00072,2026-05-06,C0207,P028,4,0.0,1996.0,5,Debit Card
O00073,2026-06-05,C0227,P009,2,0.0,5998.0,3,Net Banking
O00074,2026-06-12,C0025,P021,3,0.15,1272.45,5,Net Banking
O00075,2026-03-17,C0128,P020,4,0.15,15296.6,3,UPI
O00076,2026-08-07,C0056,P008,2,0.15,3908.3,4,Credit Card
O00077,2026-04-16,C0037,P021,3,0.15,1272.45,4,UPI
O00078,2026-03-22,C0171,P010,4,0.1,2516.4,5,Debit Card
O00079,2026-09-02,C0203,P028,2,0.15,848.3,3,UPI
O00080,2026-01-24,C0284,P006,4,0.0,15996.0,5,Debit Card
O00081,2026-07-27,C0094,P008,2,0.0,4598.0,5,Net Banking
O00082,2026-05-24,C0105,P027,3,0.0,747.0,4,Cash
O00083,2026-08-11,C0230,P001,1,0.1,1799.1,5,Debit Card
O00084,2026-01-27,C0103,P026,2,0.05,378.1,5,Credit Card
O00085,2026-08-05,C0080,P019,1,0.1,629.1,5,Debit Card
O00086,2026-01-30,C0143,P017,3,0.05,21372.15,5,Net Banking
O00087,2026-09-07,C0051,P009,1,0.1,2699.1,2,Debit Card
O00088,2026-06-29,C0068,P003,3,0.1,9447.3,4,Credit Card
O00089,2026-08-11,C0189,P006,2,0.15,6798.3,3,UPI
O00090,2026-01-24,C0248,P013,2,0.15,2548.3,4,Debit Card
O00091,2026-02-10,C0096,P027,3,0.1,672.3,5,Net Banking
O00092,2026-06-02,C0211,P002,1,0.0,2499.0,3,Net Banking
O00093,2026-01-13,C0245,P015,1,0.1,1619.1,4,Cash
O00094,2026-05-05,C0211,P018,4,0.15,4416.6,4,Net Banking
O00095,2026-01-30,C0104,P009,3,0.15,7647.45,3,Net Banking
O00096,2026-05-05,C0143,P007,3,0.0,4797.0,4,Net Banking
O00097,2026-01-15,C0215,P011,1,0.05,2849.05,4,Credit Card
O00098,2026-07-16,C0199,P021,2,0.1,898.2,4,UPI
O00099,2026-01-02,C0299,P024,4,0.15,2036.6,4,Cash
O00100,2026-05-17,C0251,P024,2,0.1,1078.2,3,UPI
O00101,2026-04-22,C0152,P012,1,0.15,2124.15,5,Debit Card
O00102,2026-05-28,C0177,P024,4,0.15,2036.6,5,Cash
O00103,2026-03-16,C0062,P001,1,0.15,1699.15,2,Debit Card
O00104,2026-02-13,C0167,P015,4,0.1,6476.4,3,UPI
