Product_ID,Product,Category,Unit_Price
P001,Wireless Earbuds,Electronics,1999
P002,Bluetooth Speaker,Electronics,2499
P003,Smart Watch,Electronics,3499
P004,Power Bank,Electronics,1499
P005,Gaming Mouse,Electronics,1299
P006,Mechanical Keyboard,Electronics,3999
P007,Laptop Stand,Electronics,1599
P008,USB-C Hub,Electronics,2299
P009,Webcam,Electronics,2999
P010,Phone Case,Accessories,699
P011,Running Shoes,Fashion,2999
P012,Casual Sneakers,Fashion,2499
P013,Backpack,Accessories,1499
P014,T-Shirt,Fashion,799
P015,Hoodie,Fashion,1799
P016,Office Chair,Furniture,8999
P017,Study Table,Furniture,7499
P018,Desk Lamp,Home,1299
P019,Water Bottle,Home,699
P020,Coffee Maker,Home Appliances,4499
P021,Face Wash,Beauty,499
P022,Shampoo,Beauty,699
P023,Moisturizer,Beauty,799
P024,Sunscreen,Beauty,599
P025,Perfume,Beauty,1499
P026,Notebook,Stationery,199
P027,Pen Set,Stationery,249
P028,Calculator,Stationery,499
P029,Table Clock,Home,899
P030,Travel Bag,Accessories,2999
